2025-10-07 00:20:38, qwer, 탭 '남방 진동' 선택
2025-10-07 00:20:38, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:20:38, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:20:38, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:20:38, qwer, 탭 '엘리뇨와 라니냐 전망' 선택
2025-10-07 00:20:41, qwer, 로그인
2025-10-07 00:20:41, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:20:42, qwer, 로그인
2025-10-07 00:20:42, qwer, 로그인
2025-10-07 00:20:42, qwer, 탭 '지난 시간에 우리는' 선택
2025-10-07 00:20:42, qwer, 탭 '학습목표' 선택
