2025-09-30 01:52:17, qwer, 로그인
2025-09-30 01:52:17, qwer, 탭 '학습목표' 선택
2025-09-30 01:52:17, qwer, 탭 '생명 기술과 정보 통신 기술' 선택
2025-09-30 01:52:17, qwer, 탭 'U-헬스케어' 선택
2025-09-30 01:52:17, qwer, 탭 '닥터챗봇' 선택
2025-09-30 02:03:55, qwer, 로그인
2025-09-30 02:03:55, qwer, 탭 '돌아보기' 선택
2025-09-30 02:03:55, qwer, 탭 '학습목표' 선택
2025-09-30 02:03:55, qwer, 탭 '개념 다지기' 선택
2025-09-30 02:03:55, qwer, 탭 '실습하기' 선택
2025-09-30 02:03:55, qwer, 탭 '파일 업로드' 선택
2025-09-30 02:03:56, qwer, 로그인
2025-09-30 02:03:56, qwer, 탭 '돌아보기' 선택
2025-09-30 02:03:56, qwer, 탭 '들어가기' 선택
2025-09-30 02:03:56, qwer, 탭 '학습목표' 선택
2025-09-30 02:03:56, qwer, 탭 '데이터 편향' 선택
2025-09-30 02:03:56, qwer, 탭 '토론활동' 선택
2025-09-30 02:03:56, qwer, 탭 '스톱워치' 선택
2025-09-30 02:03:56, qwer, 탭 '정리하기' 선택
2025-09-30 02:03:57, qwer, 로그인
2025-09-30 02:03:57, qwer, 탭 '돌아보기' 선택
2025-09-30 02:03:57, qwer, 탭 '학습목표' 선택
2025-09-30 02:03:57, qwer, 탭 '개념 다지기' 선택
2025-09-30 02:03:57, qwer, 탭 '실습하기' 선택
2025-09-30 02:03:57, qwer, 탭 '파일 업로드' 선택
2025-09-30 02:03:58, qwer, 로그인
2025-09-30 02:03:58, qwer, 탭 '지난 시간에 우리는' 선택
2025-09-30 02:03:58, qwer, 탭 '학습목표' 선택
2025-09-30 02:20:41, qwer, 로그인
2025-09-30 02:20:41, qwer, 탭 '지난 시간에 우리는' 선택
2025-09-30 02:20:41, qwer, 탭 '학습목표' 선택
2025-09-30 02:21:29, qwer, 로그인
2025-09-30 02:21:29, qwer, 탭 '지난 시간에 우리는' 선택
2025-09-30 02:21:29, qwer, 탭 '학습목표' 선택
2025-09-30 02:21:55, qwer, 로그인
2025-09-30 02:21:55, qwer, 탭 '지난 시간에 우리는' 선택
2025-09-30 02:21:55, qwer, 탭 '학습목표' 선택
2025-09-30 02:28:32, qwer, 로그인
2025-09-30 02:28:32, qwer, 탭 '시각화의 개념' 선택
2025-09-30 02:28:32, qwer, 탭 '학습목표' 선택
2025-09-30 02:28:32, qwer, 탭 '아나콘다 설치' 선택
2025-09-30 02:28:32, qwer, 탭 '가상환경 구축' 선택
2025-09-30 02:28:32, qwer, 탭 '챗봇 데이터 만들기' 선택
2025-09-30 02:28:42, qwer, 로그인
2025-09-30 02:28:42, qwer, 탭 '지난 시간에 우리는' 선택
2025-09-30 02:28:42, qwer, 탭 '학습목표' 선택
2025-09-30 02:28:48, qwer, 로그인
2025-09-30 02:28:48, qwer, 탭 '시각화의 개념' 선택
2025-09-30 02:28:48, qwer, 탭 '학습목표' 선택
2025-09-30 02:28:48, qwer, 탭 '아나콘다 설치' 선택
2025-09-30 02:28:48, qwer, 탭 '가상환경 구축' 선택
2025-09-30 02:28:48, qwer, 탭 '챗봇 데이터 만들기' 선택
2025-09-30 02:30:42, qwer, 로그인
2025-09-30 02:30:42, qwer, 탭 '시각화의 개념' 선택
2025-09-30 02:30:42, qwer, 탭 '학습목표' 선택
2025-09-30 02:30:42, qwer, 탭 '아나콘다 설치' 선택
