2025-10-06 03:15:42, qwer, 로그인
2025-10-06 03:15:42, qwer, 탭 '지난 시간에 우리는' 선택
2025-10-06 03:15:42, qwer, 탭 '학습목표' 선택
2025-10-06 03:15:49, qwer, 로그인
2025-10-06 03:15:49, qwer, 탭 '시각화의 개념' 선택
2025-10-06 03:15:58, qwer, 로그인
2025-10-06 03:15:58, qwer, 탭 '남방 진동' 선택
2025-10-06 03:15:58, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:15:58, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:15:58, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:15:58, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:16:14, qwer, 로그인
2025-10-06 03:16:14, qwer, 탭 '지난 시간에 우리는' 선택
2025-10-06 03:16:14, qwer, 탭 '학습목표' 선택
2025-10-06 03:20:05, qwer, 로그인
2025-10-06 03:20:05, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:20:05, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:20:05, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:20:05, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:20:10, qwer, 로그인
2025-10-06 03:20:11, qwer, 로그인
2025-10-06 03:20:11, qwer, 탭 '남방 진동' 선택
2025-10-06 03:20:11, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:20:11, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:20:11, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:20:11, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:22:45, qwer, 로그인
2025-10-06 03:23:05, qwer, 로그인
2025-10-06 03:23:05, qwer, 탭 '시각화의 개념' 선택
2025-10-06 03:23:06, qwer, 로그인
2025-10-06 03:23:06, qwer, 탭 '남방 진동' 선택
2025-10-06 03:23:06, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:23:06, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:23:06, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:23:06, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:23:08, qwer, 로그인
2025-10-06 03:25:15, qwer, 로그인
2025-10-06 03:25:15, qwer, 탭 '남방 진동' 선택
2025-10-06 03:25:15, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:25:15, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:25:15, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:25:15, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:31:12, qwer, 로그인
2025-10-06 03:31:12, qwer, 탭 '남방 진동' 선택
2025-10-06 03:31:12, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:31:12, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:31:12, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:31:12, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:33:55, qwer, 로그인
2025-10-06 03:33:55, qwer, 탭 '남방 진동' 선택
2025-10-06 03:33:55, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-06 03:33:55, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-06 03:33:55, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-06 03:33:55, qwer, 탭 '파일 업로드' 선택
2025-10-06 03:38:10, qwer, 로그인
2025-10-06 03:38:10, qwer, 탭 '지난 시간에 우리는' 선택
2025-10-06 03:38:10, qwer, 탭 '학습목표' 선택
2025-10-06 03:38:15, qwer, 로그인
2025-10-06 03:38:15, qwer, 탭 '시각화의 개념' 선택
